lng	lat	year
153.384	-74.678	1821
153.371	-74.644	1822
153.345	-74.608	1823
153.305	-74.571	1824
153.246	-74.532	1825
153.168	-74.495	1826
153.074	-74.460	1827
152.966	-74.428	1828
152.847	-74.398	1829
152.718	-74.369	1830
152.581	-74.337	1831
152.441	-74.305	1832
152.305	-74.271	1833
152.181	-74.237	1834
152.079	-74.203	1835
152.002	-74.167	1836
151.943	-74.130	1837
151.886	-74.089	1838
151.826	-74.045	1839
151.768	-74.003	1840
151.716	-73.968	1841
151.662	-73.936	1842
151.598	-73.906	1843
151.516	-73.874	1844
151.404	-73.836	1845
151.255	-73.791	1846
151.078	-73.739	1847
150.885	-73.682	1848
150.685	-73.620	1849
150.486	-73.555	1850
150.293	-73.485	1851
150.109	-73.415	1852
149.933	-73.346	1853
149.767	-73.281	1854
149.609	-73.218	1855
149.453	-73.157	1856
149.305	-73.100	1857
149.166	-73.046	1858
149.038	-72.996	1859
148.922	-72.951	1860
148.819	-72.913	1861
148.727	-72.880	1862
148.644	-72.848	1863
148.569	-72.818	1864
148.498	-72.787	1865
148.428	-72.755	1866
148.365	-72.722	1867
148.315	-72.692	1868
148.277	-72.662	1869
148.243	-72.635	1870
148.207	-72.607	1871
148.177	-72.578	1872
148.154	-72.548	1873
148.143	-72.518	1874
148.140	-72.487	1875
148.144	-72.455	1876
148.156	-72.422	1877
148.177	-72.391	1878
148.209	-72.359	1879
148.254	-72.327	1880
148.313	-72.292	1881
148.383	-72.257	1882
148.461	-72.221	1883
148.548	-72.183	1884
148.642	-72.144	1885
148.745	-72.105	1886
148.848	-72.066	1887
148.946	-72.028	1888
149.031	-71.989	1889
149.110	-71.952	1890
149.153	-71.923	1891
149.124	-71.905	1892
149.030	-71.895	1893
148.888	-71.888	1894
148.726	-71.879	1895
148.569	-71.866	1896
148.440	-71.843	1897
148.349	-71.812	1898
148.309	-71.770	1899
148.324	-71.721	1900
148.369	-71.668	1901
148.412	-71.616	1902
148.455	-71.563	1903
148.499	-71.510	1904
148.542	-71.458	1905
148.562	-71.397	1906
148.582	-71.336	1907
148.602	-71.274	1908
148.622	-71.213	1909
148.641	-71.151	1910
148.620	-71.082	1911
148.599	-71.012	1912
148.578	-70.942	1913
148.558	-70.871	1914
148.537	-70.801	1915
148.469	-70.724	1916
148.401	-70.646	1917
148.334	-70.568	1918
148.268	-70.491	1919
148.202	-70.413	1920
148.084	-70.328	1921
