年次	発空港	稚内	釧路	函館	旭川	利尻	帯広	中標津	紋別	女満別	奥尻	新千歳	丘珠	青森	三沢	花巻	仙台	秋田	大館	山形	庄内	福島	百里	成田	羽田	大島	三宅島	八丈島	調布	新島	神津島	青ヶ島	御蔵島	利島	新潟	佐渡	富山	小松	能登	松本	静岡	名古屋	中部	大阪	関西	神戸	但馬	南紀白浜	鳥取	美保	隠岐	出雲	石見	岡山	広島	広島西	山口宇部	岩国	徳島	高松	松山	高知	福岡	北九州	佐賀	長崎	福江	壱岐	対馬	上五島	小値賀	熊本	天草	大分	宮崎	鹿児島	種子島	屋久島	奄美	喜界島	沖永良部	与論	徳之島	那覇	南大東島	久米島	宮古島	石垣	与那国	多良間	北大東島	波照間	粟国	下地島	慶良間
2006年	屋久島	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	85025	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2022年	下地島	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	33670	44867	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	34973	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	37974	***	***	***	***	***	***	***	***	***	***	***
2021年	下地島	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	24459	25010	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	237	19702	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	26961	***	***	***	***	***	***	***	***	***	***	***
2020年	下地島	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	21594	6310	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	10525	6613	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	6564	***	***	***	***	***	***	***	***	***	***	***
2019年	下地島	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	32103	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	13055	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2007年	下地島	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	147	***	***	***	***	***	***	***	***	***	***	***
2022年	花巻	***	***	***	***	***	***	***	***	***	***	31967	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	55108	***	53402	***	13161	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	14700	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2021年	花巻	***	***	***	***	***	***	***	***	***	***	14806	***	***	***	***	***	***	***	***	***	***	***	***	1033	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	33600	***	24813	***	6935	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	7564	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2020年	花巻	***	***	***	***	***	***	***	***	***	***	16227	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	35288	***	32767	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	7461	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2019年	花巻	***	***	***	***	***	***	***	***	***	***	46338	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	78250	***	77835	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	17113	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2018年	花巻	***	***	***	***	***	***	***	***	***	***	46565	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	71699	***	74965	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	15251	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2017年	花巻	***	***	***	***	***	***	***	***	***	***	45422	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	69057	***	72174	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	12123	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2016年	花巻	***	***	***	***	***	***	***	***	***	***	43477	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	69850	***	71263	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	11419	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2015年	花巻	***	***	***	***	***	***	***	***	***	***	44012	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	62006	***	68904	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	10804	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2014年	花巻	***	***	***	***	***	***	***	***	***	***	46522	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	58776	***	64134	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	11636	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2013年	花巻	***	***	***	***	***	***	***	***	***	***	45351	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	53321	***	62660	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	10521	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2012年	花巻	***	***	***	***	***	***	***	***	***	***	44259	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	37045	***	61738	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	8041	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2011年	花巻	***	***	***	***	***	***	***	***	***	***	39316	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	9608	***	67930	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2010年	花巻	***	***	***	***	***	***	***	***	***	***	43291	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	19090	72464	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2009年	花巻	***	***	***	***	***	***	***	***	***	***	50823	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	44784	67833	1764	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2008年	花巻	***	***	***	***	***	***	***	***	***	***	48731	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	48341	50069	24704	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	1645	***	***	***	***	***	***	***	***	***	***	***
2007年	花巻	***	***	***	***	***	***	***	***	***	***	50024	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	51430	54973	25156	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	7776	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	1263	***	***	***	***	***	***	***	***	***	***	***
2006年	花巻	***	***	***	***	***	***	***	***	***	***	54259	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	58685	64971	22749	***	***	***	***	***	***	***	***	***	***	***	289	***	***	***	***	***	11742	***	***	***	***	***	***	***	***	191	***	***	***	***	***	***	***	***	***	***	***	1506	***	***	***	***	***	***	***	***	***	***	***
2022年	関西	***	34311	***	***	***	***	***	***	30649	***	542879	***	***	***	***	146013	***	***	***	***	***	***	377910	472718	***	***	***	***	***	***	***	***	***	34378	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	158197	***	***	53989	***	***	***	***	***	***	***	***	55103	122862	***	***	36359	***	***	***	***	482180	***	***	57577	152344	***	***	***	***	***	***	***
2021年	関西	***	24403	***	***	***	***	***	***	16090	***	241240	***	***	***	***	77784	***	***	***	***	***	***	233786	232471	***	***	***	***	***	***	***	***	***	16632	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	99093	***	***	20335	***	***	***	***	***	***	***	***	21727	41668	***	***	22956	***	***	***	***	219717	***	***	31243	91685	***	***	***	***	***	170	***
2020年	関西	***	32421	***	***	***	***	***	***	220	***	252291	***	***	***	***	78942	***	***	***	***	***	***	167196	243993	***	***	***	***	***	***	***	***	***	23536	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	11369	4878	90744	***	***	27274	***	***	***	***	***	16077	***	***	27060	56231	***	***	24725	***	***	***	***	265033	***	***	30356	99559	***	***	***	***	***	10432	***
2019年	関西	***	56874	***	***	***	***	***	***	8574	***	596592	***	***	***	***	171221	***	***	***	***	***	***	343391	680273	***	***	***	***	***	***	***	***	***	52977	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	51516	31103	231349	***	***	55782	***	***	***	***	***	46818	***	***	60609	117694	***	***	18455	***	***	***	***	596784	***	***	57693	146788	***	***	***	***	***	13078	***
2018年	関西	***	20987	411	***	***	***	***	***	6728	***	554953	***	***	***	***	169845	***	***	***	***	***	***	388797	636469	***	***	***	***	***	***	***	***	***	44735	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	49984	1505	237521	***	***	55582	***	***	***	***	***	7890	***	***	58772	114706	***	***	43645	***	***	***	***	532736	***	***	54516	138634	***	***	***	***	***	***	***
2017年	関西	***	***	9104	5026	***	***	***	***	6605	***	594306	***	***	***	***	148808	***	***	***	***	***	***	544039	652641	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	52147	***	253292	***	***	55090	***	***	***	***	***	***	***	***	56881	126283	***	***	36074	***	***	***	***	543107	***	***	45440	146484	***	***	***	***	***	***	***
2016年	関西	***	***	***	5052	***	***	***	***	5124	***	553382	***	***	***	***	162657	***	***	***	***	***	***	421015	629498	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	54938	***	266476	***	***	52967	***	***	***	***	***	11603	***	***	54043	127500	***	***	***	***	***	***	***	575470	***	***	34913	144501	***	***	***	***	***	***	***
2015年	関西	***	***	17334	6866	***	***	***	***	7692	***	647457	***	***	***	***	161261	***	***	***	***	***	***	428221	565767	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	81624	***	293495	***	***	55371	***	***	***	***	***	60252	***	29275	18708	167012	***	***	***	***	***	***	***	635563	***	***	16701	135177	***	***	***	***	***	***	***
2014年	関西	***	***	40783	6226	***	***	***	***	15078	***	640479	***	***	***	***	132181	***	***	***	***	***	***	393766	549645	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	66947	***	274077	***	***	54294	***	***	***	***	***	9378	***	7028	***	135348	***	***	***	***	***	***	***	555240	***	***	***	131796	***	***	***	***	***	***	***
2013年	関西	***	***	42622	6038	***	***	***	***	15874	***	746403	***	***	***	***	93127	***	***	***	***	***	***	159711	542994	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	324425	***	***	69497	***	***	***	***	***	***	***	***	***	153899	***	***	***	***	***	***	***	594269	***	***	***	102093	***	***	***	***	***	***	***
2012年	関西	7790	***	48109	18124	***	***	***	***	20569	***	713615	***	***	***	***	***	***	***	***	***	***	***	54258	523398	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	186628	***	***	59061	***	***	***	***	***	***	***	***	***	78494	***	***	***	***	***	***	***	515988	***	***	3981	48512	***	***	***	***	***	***	***
2011年	関西	7928	***	43419	11017	***	***	***	***	10741	***	479943	***	***	***	***	***	***	***	***	***	***	***	20082	498231	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	47220	***	***	***	943	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	458169	***	***	2154	35960	***	***	***	***	***	***	***
2010年	関西	8793	***	45947	8566	***	***	***	***	8515	***	502062	***	***	***	***	***	***	***	***	***	***	***	4734	605584	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	78169	***	***	***	1003	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	470671	***	***	***	36157	***	***	***	***	***	***	***
2009年	関西	9351	2951	38638	30976	***	4571	***	***	19017	***	468603	***	***	***	2424	***	1267	***	***	***	1406	***	***	632417	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	23780	16751	106147	***	***	***	962	***	***	***	***	***	***	***	***	25723	***	***	***	***	***	***	***	453097	***	***	***	35242	***	***	***	***	***	***	***
2008年	関西	10209	11766	81645	41112	***	14344	***	***	60114	***	577172	***	2079	***	29564	10005	19414	***	***	***	27148	***	***	805273	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	43863	25123	191615	***	***	***	970	***	***	***	***	***	***	***	***	48106	***	***	***	***	***	***	***	550808	***	***	***	36686	***	***	***	***	***	***	***
2007年	関西	10108	11806	115643	49788	***	14524	***	***	62397	***	542460	***	3160	***	27956	***	22029	***	***	***	30573	***	***	825981	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	41264	29122	196843	***	***	***	951	***	***	***	***	***	***	***	9644	45655	***	***	***	***	***	***	***	502710	***	***	***	39738	***	***	***	***	***	***	***
2006年	関西	10652	9944	119094	48674	***	13008	***	***	70480	***	449613	***	2582	***	21417	***	24237	***	***	***	30487	***	***	841879	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	42819	11785	200257	152	***	***	1501	***	***	***	***	***	***	***	42088	41564	***	***	***	***	***	***	***	464768	***	***	20815	63511	***	***	***	***	***	***	***
2022年	岩国	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	124923	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	20730	***	***	***	***	***	***	***	***	***	***	***
2021年	岩国	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	52013	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	1837	***	***	***	***	***	***	***	***	***	***	***
2020年	岩国	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	64226	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	7710	***	***	***	***	***	***	***	***	***	***	***
2019年	岩国	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	207587	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	34563	***	***	***	***	***	***	***	***	***	***	***
2018年	岩国	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	211979	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	34211	***	***	***	***	***	***	***	***	***	***	***
2017年	岩国	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	202744	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	26437	***	***	***	***	***	***	***	***	***	***	***
2016年	岩国	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	187461	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	16739	***	***	***	***	***	***	***	***	***	***	***
2015年	岩国	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	174901	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2014年	岩国	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	177706	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2013年	岩国	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	174757	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2012年	岩国	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	9293	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2022年	喜界島	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	17290	***	***	16483	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2021年	喜界島	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	12349	***	***	15337	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2020年	喜界島	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	10107	***	***	15680	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2019年	喜界島	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	19393	***	***	22695	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2018年	喜界島	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	20319	***	***	20974	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2017年	喜界島	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	17726	***	***	21608	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2016年	喜界島	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	17249	***	***	20955	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2015年	喜界島	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	16929	***	***	20832	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2014年	喜界島	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	15991	***	***	18954	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2013年	喜界島	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	16161	***	***	16608	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2012年	喜界島	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	16086	***	***	16639	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2011年	喜界島	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	16301	***	***	17744	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2010年	喜界島	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	16361	***	***	18139	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2009年	喜界島	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	15795	***	***	19632	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2008年	喜界島	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	16343	***	***	19795	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2007年	喜界島	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	16587	***	***	21556	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
